Reference Station Name,Relationship Type,Related Station Name,Value (km/m)
S1,Within +/- 100m Elevation,S118,55.00 m
S1,Within +/- 100m Elevation,S119,44.00 m
S1,Within +/- 100m Elevation,S120,88.00 m
S1,Within +/- 100m Elevation,S122,37.00 m
S1,Within +/- 100m Elevation,S124,59.00 m
S1,Within +/- 100m Elevation,S126,76.00 m
S1,Within +/- 100m Elevation,S137,27.00 m
S1,Within +/- 100m Elevation,S144,44.00 m
S1,Within +/- 100m Elevation,S177,93.00 m
S1,Within +/- 100m Elevation,S237,83.00 m
S1,Within +/- 100m Elevation,S43,63.00 m
S1,Within +/- 100m Elevation,S60,52.00 m
S1,Within +/- 100m Elevation,S61,98.00 m
S1,Within +/- 100m Elevation,S62,100.00 m
S1,Within +/- 100m Elevation,S63,58.00 m
S1,Within +/- 100m Elevation,S67,80.00 m
S1,Within +/- 100m Elevation,S76,52.00 m
S1,Within +/- 100m Elevation,S94,52.00 m
S1,Within 100km,S10,66.69 km
S1,Within 100km,S11,61.18 km
S1,Within 100km,S12,93.84 km
S1,Within 100km,S13,93.20 km
S1,Within 100km,S17,94.04 km
S1,Within 100km,S18,97.29 km
S1,Within 100km,S19,66.07 km
S1,Within 100km,S2,16.48 km
S1,Within 100km,S21,62.09 km
S1,Within 100km,S22,87.05 km
S1,Within 100km,S23,90.15 km
S1,Within 100km,S24,58.57 km
S1,Within 100km,S25,91.25 km
S1,Within 100km,S3,21.26 km
S1,Within 100km,S4,39.98 km
S1,Within 100km,S5,83.72 km
S1,Within 100km,S7,20.77 km
S1,Within 100km,S8,18.33 km
S1,Within 100km,S9,30.26 km
S1,Within 50km,S2,16.48 km
S1,Within 50km,S3,21.26 km
S1,Within 50km,S4,39.98 km
S1,Within 50km,S7,20.77 km
S1,Within 50km,S8,18.33 km
S1,Within 50km,S9,30.26 km
S10,Within +/- 100m Elevation,S11,5.00 m
S10,Within +/- 100m Elevation,S110,49.00 m
S10,Within +/- 100m Elevation,S117,30.00 m
S10,Within +/- 100m Elevation,S13,84.00 m
S10,Within +/- 100m Elevation,S141,12.00 m
S10,Within +/- 100m Elevation,S192,1.00 m
S10,Within +/- 100m Elevation,S2,48.00 m
S10,Within +/- 100m Elevation,S204,27.00 m
S10,Within +/- 100m Elevation,S21,60.00 m
S10,Within +/- 100m Elevation,S225,84.00 m
S10,Within +/- 100m Elevation,S228,96.00 m
S10,Within +/- 100m Elevation,S23,6.00 m
S10,Within +/- 100m Elevation,S3,12.00 m
S10,Within +/- 100m Elevation,S39,90.00 m
S10,Within +/- 100m Elevation,S41,64.00 m
S10,Within +/- 100m Elevation,S59,10.00 m
S10,Within 100km,S1,66.69 km
S10,Within 100km,S11,38.64 km
S10,Within 100km,S12,27.54 km
S10,Within 100km,S13,61.69 km
S10,Within 100km,S14,70.25 km
S10,Within 100km,S18,65.41 km
S10,Within 100km,S19,19.25 km
S10,Within 100km,S2,77.73 km
S10,Within 100km,S21,68.57 km
S10,Within 100km,S22,97.16 km
S10,Within 100km,S23,46.14 km
S10,Within 100km,S24,41.94 km
S10,Within 100km,S25,44.29 km
S10,Within 100km,S26,58.65 km
S10,Within 100km,S27,98.17 km
S10,Within 100km,S29,58.99 km
S10,Within 100km,S3,65.58 km
S10,Within 100km,S30,90.70 km
S10,Within 100km,S31,83.70 km
S10,Within 100km,S32,77.65 km
S10,Within 100km,S33,52.83 km
S10,Within 100km,S35,74.47 km
S10,Within 100km,S37,85.05 km
S10,Within 100km,S38,75.01 km
S10,Within 100km,S39,92.44 km
S10,Within 100km,S4,66.89 km
S10,Within 100km,S40,86.23 km
S10,Within 100km,S47,92.31 km
S10,Within 100km,S7,72.66 km
S10,Within 100km,S8,69.84 km
S10,Within 100km,S9,36.47 km
S10,Within 50km,S11,38.64 km
S10,Within 50km,S12,27.54 km
S10,Within 50km,S19,19.25 km
S10,Within 50km,S23,46.14 km
S10,Within 50km,S24,41.94 km
S10,Within 50km,S25,44.29 km
S10,Within 50km,S9,36.47 km
S100,Within +/- 100m Elevation,S101,57.00 m
S100,Within +/- 100m Elevation,S102,72.00 m
S100,Within +/- 100m Elevation,S103,3.00 m
S100,Within +/- 100m Elevation,S104,68.00 m
S100,Within +/- 100m Elevation,S105,68.00 m
S100,Within +/- 100m Elevation,S106,13.00 m
S100,Within +/- 100m Elevation,S108,74.00 m
S100,Within +/- 100m Elevation,S109,10.00 m
S100,Within +/- 100m Elevation,S111,32.00 m
S100,Within +/- 100m Elevation,S114,85.00 m
S100,Within +/- 100m Elevation,S115,70.00 m
S100,Within +/- 100m Elevation,S145,9.00 m
S100,Within +/- 100m Elevation,S146,3.00 m
S100,Within +/- 100m Elevation,S15,31.00 m
S100,Within +/- 100m Elevation,S150,43.00 m
S100,Within +/- 100m Elevation,S151,64.00 m
S100,Within +/- 100m Elevation,S152,93.00 m
S100,Within +/- 100m Elevation,S153,28.00 m
S100,Within +/- 100m Elevation,S157,92.00 m
S100,Within +/- 100m Elevation,S158,80.00 m
S100,Within +/- 100m Elevation,S16,21.00 m
S100,Within +/- 100m Elevation,S160,66.00 m
S100,Within +/- 100m Elevation,S162,36.00 m
S100,Within +/- 100m Elevation,S17,4.00 m
S100,Within +/- 100m Elevation,S173,9.00 m
S100,Within +/- 100m Elevation,S174,91.00 m
S100,Within +/- 100m Elevation,S176,53.00 m
S100,Within +/- 100m Elevation,S178,50.00 m
S100,Within +/- 100m Elevation,S179,90.00 m
S100,Within +/- 100m Elevation,S180,20.00 m
